,X,Y,Z,AUGT
3299127,-55.0,668.0,151.0,17.369627690315248
948518,-7.0,-788.0,-441.0,16.097888302803042
2302578,-119.0,44.0,239.0,18.839066696167
2516010,449.0,-1260.0,-545.0,11.22980959415436
204069,641.0,-956.0,-937.0,25.029526138305663
208741,-143.0,-4.0,191.0,27.374121856689452
3089327,201.0,-572.0,-481.0,13.637941813468936
1149470,153.0,236.0,-1.0,10.344125771522522
191354,-391.0,452.0,167.0,21.41992950439453
2684912,-119.0,-1060.0,519.0,35.70827288627625
3664598,-351.0,668.0,199.0,15.01378288269043
1159892,729.0,-1468.0,-737.0,20.41281533241272
1783935,-375.0,412.0,111.0,12.057597231864928
3643698,-63.0,36.0,287.0,24.990793943405155
3144085,89.0,532.0,167.0,34.80867052078247
986089,465.0,-380.0,-801.0,21.07269725799561
1136287,-151.0,652.0,183.0,16.339715099334718
3359908,49.0,52.0,175.0,17.96092977523804
1916665,89.0,-284.0,-361.0,17.702881813049316
1952952,-583.0,524.0,527.0,13.741063332557681
1458952,457.0,188.0,-305.0,10.782424354553225
1070868,-151.0,-1164.0,407.0,11.847359943389893
342107,753.0,-916.0,-849.0,10.395034646987916
2680613,-47.0,-356.0,-273.0,10.451095509529114
3324141,329.0,468.0,-177.0,10.592814874649047
1651422,-127.0,204.0,239.0,11.49352707862854
1050684,65.0,404.0,255.0,12.577197909355164
3041424,217.0,212.0,-201.0,17.59569711685181
924546,-199.0,-892.0,559.0,13.680311942100525
3342585,-223.0,876.0,159.0,15.257263922691346
766497,-135.0,-1212.0,351.0,10.579001474380494
3365582,33.0,612.0,167.0,16.121136498451236
1467058,89.0,212.0,-73.0,10.594464445114136
1748750,-111.0,388.0,183.0,23.145412921905518
2915154,17.0,212.0,279.0,30.31051850318909
3008462,161.0,436.0,175.0,17.906124782562262
2710754,17.0,420.0,-121.0,10.904723882675171
1025567,-503.0,580.0,495.0,25.60990390777588
2639789,-343.0,332.0,143.0,13.230798149108887
1869043,-79.0,-644.0,-713.0,16.295931386947633
352143,-231.0,172.0,159.0,11.841721963882446
3246464,353.0,356.0,-265.0,13.399318361282349
1408100,-15.0,884.0,159.0,16.327433276176453
1329365,681.0,-1404.0,-497.0,13.569415712356568
949492,169.0,-60.0,-249.0,13.808640813827514
1091425,-423.0,620.0,255.0,20.67090301513672
3564919,-23.0,364.0,119.0,10.685119557380677
2301318,353.0,244.0,-433.0,15.67142059803009
2129477,97.0,612.0,223.0,10.178942084312439
2782196,-351.0,772.0,295.0,10.576732730865482
821481,-255.0,-100.0,327.0,15.662066411972045
1593782,-247.0,108.0,287.0,15.444915413856508
2303974,313.0,-1276.0,-825.0,25.87884931564331
1246474,41.0,1028.0,167.0,12.980730509757993
1107904,17.0,-1108.0,415.0,26.52137570381165
1178956,-135.0,-1140.0,375.0,29.84443073272705
3325246,609.0,-1060.0,-953.0,10.158612179756165
3053402,241.0,788.0,143.0,15.547066116333008
3372574,-223.0,180.0,143.0,14.497787427902225
2737862,-247.0,420.0,-17.0,22.052144908905028
3488406,473.0,-828.0,-737.0,16.256675815582277
3287936,145.0,-1116.0,407.0,11.021072340011596
3155528,-191.0,340.0,183.0,40.0
2559627,-159.0,172.0,223.0,22.77314739227295
2376551,777.0,-1308.0,-585.0,13.086652326583865
3249012,193.0,-452.0,-465.0,21.68080229759217
222416,545.0,-916.0,-777.0,19.69853963851929
2395616,513.0,-988.0,-801.0,11.759845089912414
1032952,-255.0,860.0,207.0,12.53928933143616
667060,33.0,572.0,135.0,17.20112500190735
2994712,-151.0,260.0,215.0,23.76376819610596
3381155,-103.0,-1124.0,399.0,17.090007972717288
2965510,-223.0,508.0,135.0,22.507699728012085
3569392,-879.0,-1388.0,359.0,11.853876447677616
341304,1.0,252.0,-137.0,12.48253803253174
2390372,-831.0,-1164.0,375.0,18.10877778530121
2738472,41.0,588.0,159.0,29.420327568054198
995356,-95.0,908.0,143.0,15.328665089607242
2007171,-103.0,-596.0,-697.0,11.055012369155884
1503828,137.0,-244.0,127.0,10.24599735736847
133322,233.0,260.0,-41.0,10.349923801422118
2646102,521.0,-916.0,-929.0,11.807792448997498
73767,153.0,-1140.0,-873.0,19.62935581207276
1411145,-103.0,-820.0,-689.0,20.0647162437439
1585059,-47.0,764.0,-49.0,14.339918160438538
2315689,-167.0,276.0,-105.0,14.875282049179079
2074197,137.0,-340.0,111.0,14.557166123390198
2789284,-895.0,-1164.0,359.0,15.998466634750367
840370,-31.0,348.0,215.0,33.121631908416745
2563549,-575.0,524.0,255.0,18.430544495582577
