
X,Y,Z,AUGT,grade_kriging
-55,668,151,17.3696276903152,17.119227625131565
-7,-788,-441,16.097888302803,15.8340773582458
-119,44,239,18.839066696167,21.228503394126868
449,-1260,-545,11.2298095941543,11.2298095941543
641,-956,-937,25.0295261383056,25.0295261383056
-143,-4,191,27.3741218566894,28.8021875619888
201,-572,-481,13.6379418134689,16.70421911954875
153,236,-1,10.3441257715225,10.400732791423778
-391,452,167,21.4199295043945,23.271770019531218
-119,-1060,519,35.7082728862762,26.72273844337458
-351,668,199,15.0137828826904,13.85308341979976
729,-1468,-737,20.4128153324127,20.4128153324127
-375,412,111,12.0575972318649,12.0575972318649
-63,36,287,24.9907939434051,24.9907939434051
89,532,167,34.8086705207824,34.831933580126034
465,-380,-801,21.0726972579956,21.0726972579956
-151,652,183,16.3397150993347,14.657751836776722
49,52,175,17.960929775238,17.960929775238
89,-284,-361,17.7028818130493,19.24816531181333
-583,524,527,13.7410633325576,13.7410633325576
457,188,-305,10.7824243545532,10.7824243545532
-151,-1164,407,11.8473599433898,16.80300163745873
753,-916,-849,10.3950346469879,10.3950346469879
-47,-356,-273,10.4510955095291,10.708955266475659
329,468,-177,10.592814874649,10.592814874649
-127,204,239,11.4935270786285,15.6118091869354
65,404,255,12.5771979093551,12.5771979093551
217,212,-201,17.5956971168518,17.56629153728482
-199,-892,559,13.6803119421005,13.6803119421005
-223,876,159,15.2572639226913,15.257263922691298
-135,-1212,351,10.5790014743804,11.72473575830453
33,612,167,16.1211364984512,20.24264905452725
89,212,-73,10.5944644451141,13.810195288658111
-111,388,183,23.1454129219055,22.29524182796477
17,212,279,30.310518503189,27.917674451827942
161,436,175,17.9061247825622,17.9061247825622
17,420,-121,10.9047238826751,10.9047238826751
-503,580,495,25.6099039077758,26.17542414093012
-343,332,143,13.2307981491088,17.4843261098861
-79,-644,-713,16.2959313869476,14.90504452943797
-231,172,159,11.8417219638824,17.29197334289546
353,356,-265,13.3993183612823,13.399318361282297
-15,884,159,16.3274332761764,17.610141022205298
681,-1404,-497,13.5694157123565,13.569415712356498
169,-60,-249,13.8086408138275,13.8086408138275
-423,620,255,20.6709030151367,20.6709030151367
-23,364,119,10.6851195573806,10.6851195573806
353,244,-433,15.67142059803,15.67142059803
97,612,223,10.1789420843124,13.21989439487454
-351,772,295,10.5767327308654,10.5767327308654
-255,-100,327,15.662066411972,18.64157853126522
-247,108,287,15.4449154138565,17.71778706073757
313,-1276,-825,25.8788493156433,25.8788493156433
41,1028,167,12.9807305097579,13.04605104684822
17,-1108,415,26.5213757038116,21.28285487174984
-135,-1140,375,29.844430732727,28.441190765380824
609,-1060,-953,10.1586121797561,10.1586121797561
241,788,143,15.547066116333,16.81869095683095
-223,180,143,14.4977874279022,14.4977874279022
-247,420,-17,22.052144908905,22.052144908905
473,-828,-737,16.2566758155822,16.2566758155822
145,-1116,407,11.0210723400115,11.44775640487663
-191,340,183,40.0,26.271183811823477
-159,172,223,22.7731473922729,22.98264190673824
777,-1308,-585,13.0866523265838,13.0866523265838
193,-452,-465,21.6808022975921,18.9725684666633
545,-916,-777,19.6985396385192,17.30546477317803
513,-988,-801,11.7598450899124,11.7598450899124
-255,860,207,12.5392893314361,12.59578139543529
33,572,135,17.2011250019073,18.23946390724177
-151,260,215,23.7637681961059,23.7637681961059
-103,-1124,399,17.0900079727172,16.38712249279016
-223,508,135,22.507699728012,24.02802658081047
-879,-1388,359,11.8538764476776,11.8538764476776
1,252,-137,12.4825380325317,14.279328642845112
-831,-1164,375,18.1087777853012,18.26203573226927
41,588,159,29.4203275680541,26.50247433662408
-95,908,143,15.3286650896072,15.3286650896072
-103,-596,-697,11.0550123691558,12.762548763751902
137,-244,127,10.2459973573684,12.38276174187655
233,260,-41,10.3499238014221,11.72612048625942
521,-916,-929,11.8077924489974,11.8077924489974
153,-1140,-873,19.6293558120727,18.1861435747146
-103,-820,-689,20.0647162437439,18.65380077362059
-47,764,-49,14.3399181604385,14.3399181604385
-167,276,-105,14.875282049179,14.875282049179
137,-340,111,14.5571661233901,14.5571661233901
-895,-1164,359,15.9984666347503,15.558198146820011
-31,348,215,33.1216319084167,27.932997308458553
-575,524,255,18.4305444955825,18.4305444955825
281,204,-65,13.5515157699584,12.505137031078249
-239,284,167,11.9204761028289,15.258046709299034
-143,540,159,25.6285421848297,26.520185956954922
-239,740,215,33.2654506206512,33.2654506206512
-111,-1140,415,24.4040889263153,24.4040889263153
161,-492,-481,29.519941997528,27.63714983940118
465,612,143,28.5473800182342,24.989980217615695
97,476,175,23.6756446838378,23.6756446838378
-127,452,527,23.1905447959899,19.028413953781055
-311,388,175,40.0,32.41948948542275
-383,364,207,19.459959411621,21.68066350936884
465,-532,79,16.9549266099929,16.9549266099929
41,564,143,40.0,33.186872882843
417,-1076,-969,10.4680713653564,10.4680713653564
-295,484,159,17.0224433422088,17.0224433422088
-247,196,159,19.6461178779602,19.473964805602993
745,-1276,-585,11.1320620298385,11.1320620298385
-31,36,271,27.5835565567016,24.5748334884643
393,316,-361,12.6108260154724,16.36687670230862
-263,564,223,11.9398235082626,11.9398235082626
-55,740,-49,23.060289478302,23.060289478302
137,684,191,22.3869960308074,27.34526634693139
-855,-1196,359,16.6129631757736,15.49035185098645
-519,-1412,407,14.0993156909942,13.678718914985598
-383,820,511,21.1081910610198,21.47838785171502
-15,28,263,32.7043279647827,25.15383440399166
473,692,143,27.5145456314086,22.349915587107265
145,620,175,20.6671739578247,20.6671739578247
-359,812,463,16.1231388807296,16.1231388807296
-879,-1188,367,13.4942644596099,12.53629662275307
513,228,-361,12.2655938148498,12.93372522830958
-855,-1060,359,13.2562917232513,13.2562917232513
529,660,143,32.6621003627777,33.193554769515956
1,284,-121,18.9986346006393,18.9986346006393
41,-604,-441,26.657516670227,31.9945100021362
-559,668,575,12.6940136671066,14.73309339761731
193,-692,63,15.8618093013763,15.8618093013763
41,956,143,10.1774128437042,10.855735728740669
-583,-1388,407,11.0525181531906,12.04515302181242
-31,396,247,40.0,27.574095458984345
649,-1028,-921,21.9093402385711,21.998411961793842
-87,524,-65,23.5185639858245,23.5185639858245
-167,-108,175,27.2429950237274,31.1777984778086
761,-1348,-585,10.6226987361907,10.6226987361907
-279,308,199,34.1464567661285,30.346442689895575
-111,-1068,511,24.1240684986114,24.33544029903407
465,-1124,-321,20.3901582717895,16.967293014526312
281,-516,-473,11.6722262620925,11.6722262620925
369,-1220,-873,11.6087656974792,11.6087656974792
-215,-44,255,33.4361391067504,33.4361391067504
369,284,-353,18.6411451101303,20.09241757869718
49,-508,-433,31.0382314205169,27.3308288097381
-247,-28,527,18.1800422668457,15.94012137413022
89,292,143,40.0,38.17151874542236
-87,596,-1,12.6759910583496,12.6759910583496
217,356,-129,11.7738500833511,11.7738500833511
-31,204,167,11.7725650072097,12.653127450942918
-207,748,119,16.1596198558807,15.874307543039276
-327,372,159,40.0,37.92792553710936
-39,-260,-49,13.3979526758193,13.774064321517878
-159,804,159,16.719338274002,16.99888355064386
241,-676,-697,11.0267699003219,14.404505503177578
-15,324,175,10.4589823722839,15.62233606338498
-95,252,183,26.1370655059814,31.411160049438436
113,-388,-305,20.6960834980011,24.23790918827055
-95,-652,-689,19.080282497406,16.47659545183179
-215,748,135,13.730137848854,13.07482156515116
561,-908,-785,40.0,31.22646254221595
-183,308,151,10.2801932334899,14.27790459156029
441,756,375,13.7708607435226,13.7708607435226
-47,4,135,20.4555546283721,20.4555546283721
649,-1004,-289,16.3265278816223,16.489798032045336
113,124,223,24.6285263061523,24.6285263061523
-167,-868,383,11.485587644577,11.485587644577
105,-316,-145,14.4842473983764,13.45341399192803
-95,476,-33,18.5041431427002,20.33674630165098
-79,-1076,503,26.8480817794799,20.506062419891293
-127,356,-201,11.5568252563476,11.5568252563476
481,324,-145,13.7490705251693,15.071938536167089
81,500,183,36.0631244659423,31.45642525990798
553,-828,-801,23.7806821346282,18.765216758251114
-735,-836,359,10.6539704799652,10.6539704799652
-127,156,551,20.0718168735504,20.0718168735504
841,-372,-953,10.3162980318069,10.3162980318069
33,-996,367,10.0889084815979,10.0889084815979
-207,188,239,21.6189667701721,21.6189667701721
-199,260,175,15.5780948638916,15.5780948638916
649,-820,-937,21.1170393943786,19.88941830635065
361,748,487,19.8705435752868,18.22450356483454
-167,-108,191,24.5992686271667,25.20432780265802
-495,372,255,14.8241617202758,15.418405578136376
-63,348,159,12.0550305843353,14.000845446586581
57,532,191,23.2586398124694,26.67638322353355
-119,-420,-233,10.7832140922546,10.7832140922546
-319,84,167,15.163073682785,15.557390651702843
-263,868,199,12.7275962114334,12.67110414743421
-23,652,215,14.9571600914001,14.957160091400102
-175,388,231,10.7610944271087,10.7610944271087
49,-540,-425,40.0,34.035203463236485
-271,324,183,11.5197543144226,11.5197543144226
-271,292,159,16.456495809555,17.133301486968932
449,756,223,25.9635428428649,19.568599592844578
-407,-1140,399,13.1689719676971,14.258911399841281
-279,-180,135,11.0317945480346,15.515282211303662
-303,732,247,10.0989963293075,12.269390046596481
513,732,143,18.7060449600219,18.7060449600219
-55,-1068,511,22.0821876525878,25.645778560638348
321,28,-153,17.4162397384643,16.24172734260554
473,-684,-713,13.3879851579666,14.14700369834896
-151,708,159,18.5686656475067,21.886014315287248
-239,148,551,16.333169388771,16.08858411788936
-279,68,191,12.3021530628204,16.30783160090442
105,852,191,10.6791252613067,10.6791252613067
97,364,223,22.2873231887817,28.746139783859217
-71,148,175,30.6205372810363,31.695417957305843
129,332,-81,17.1014182806015,17.47286626815794
33,-1060,503,17.7755914211273,16.359796633720368
-119,-268,-121,13.892365860939,14.055870654582959
457,756,215,21.5709352970123,21.5709352970123
-511,36,519,19.8854084014892,17.54788632631295
609,-1100,-921,18.6090859651565,16.77075393676754
-487,276,151,19.1315733909606,19.1315733909606
-39,-1044,543,27.7774021148681,27.7774021148681
537,676,143,13.5917059421539,14.88073824882504
-23,372,151,15.1781207561492,14.598087795972742
-7,436,183,20.2987870216369,24.073115812540003
